行政区,坐标,数量
长宁区,"121.340973,31.207974",39
长宁区,"121.340973,31.198974",31
长宁区,"121.340973,31.189974",101
长宁区,"121.340973,31.180974",288
长宁区,"121.349973,31.234974",233
长宁区,"121.349973,31.225974",503
长宁区,"121.349973,31.216974",538
长宁区,"121.349973,31.207974",234
长宁区,"121.349973,31.198974",81
长宁区,"121.349973,31.189974",312
长宁区,"121.358973,31.225974",795
长宁区,"121.358973,31.216974",873
长宁区,"121.358973,31.207974",715
长宁区,"121.358973,31.198974",272
长宁区,"121.358973,31.189974",285
长宁区,"121.367973,31.216974",875
长宁区,"121.367973,31.207974",865
长宁区,"121.367973,31.198974",365
长宁区,"121.367973,31.189974",819
长宁区,"121.376973,31.216974",869
长宁区,"121.376973,31.207974",831
长宁区,"121.376973,31.198974",369
长宁区,"121.376973,31.189974",871
长宁区,"121.385973,31.216974",872
长宁区,"121.385973,31.207974",878
长宁区,"121.385973,31.198974",875
长宁区,"121.394973,31.216974",876
长宁区,"121.394973,31.207974",872
长宁区,"121.394973,31.198974",862
长宁区,"121.403973,31.216974",877
长宁区,"121.403973,31.207974",847
长宁区,"121.403973,31.198974",865
长宁区,"121.412973,31.216974",870
长宁区,"121.412973,31.207974",859
长宁区,"121.412973,31.198974",866
长宁区,"121.421973,31.225974",868
长宁区,"121.421973,31.216974",860
长宁区,"121.421973,31.207974",870
长宁区,"121.421973,31.198974",865
长宁区,"121.430973,31.216974",867
长宁区,"121.430973,31.207974",871
