行政区,坐标,数量
虹口区,"121.469046,31.307035",590
虹口区,"121.469046,31.298035",828
虹口区,"121.469046,31.289035",876
虹口区,"121.469046,31.280035",876
虹口区,"121.469046,31.271035",865
虹口区,"121.478046,31.307035",882
虹口区,"121.478046,31.298035",874
虹口区,"121.478046,31.289035",871
虹口区,"121.478046,31.280035",870
虹口区,"121.478046,31.271035",846
虹口区,"121.478046,31.262035",881
虹口区,"121.487046,31.298035",865
虹口区,"121.487046,31.289035",864
虹口区,"121.487046,31.280035",872
虹口区,"121.487046,31.271035",877
虹口区,"121.487046,31.262035",868
虹口区,"121.487046,31.253035",874
虹口区,"121.496046,31.289035",878
虹口区,"121.496046,31.280035",872
虹口区,"121.496046,31.271035",866
虹口区,"121.496046,31.262035",879
虹口区,"121.496046,31.253035",868
虹口区,"121.496046,31.244035",858
虹口区,"121.505046,31.271035",878
虹口区,"121.505046,31.262035",868
虹口区,"121.505046,31.253035",859
虹口区,"121.514046,31.253035",879
