行政区,坐标,数量
黄浦区,"121.465756,31.217244",865
黄浦区,"121.465756,31.208244",865
黄浦区,"121.474756,31.235244",856
黄浦区,"121.474756,31.226244",865
黄浦区,"121.474756,31.217244",850
黄浦区,"121.474756,31.208244",875
黄浦区,"121.474756,31.199244",867
黄浦区,"121.474756,31.190244",523
黄浦区,"121.483756,31.235244",871
黄浦区,"121.483756,31.226244",869
黄浦区,"121.483756,31.217244",853
黄浦区,"121.483756,31.208244",881
黄浦区,"121.483756,31.199244",863
黄浦区,"121.483756,31.190244",212
黄浦区,"121.492756,31.235244",864
黄浦区,"121.492756,31.226244",873
黄浦区,"121.492756,31.217244",852
黄浦区,"121.492756,31.208244",871
黄浦区,"121.492756,31.199244",635
黄浦区,"121.501756,31.226244",859
黄浦区,"121.501756,31.217244",865
黄浦区,"121.501756,31.208244",869
