行政区,坐标,数量
嘉定区,"121.123755,31.361141",15
嘉定区,"121.123755,31.344141",1
嘉定区,"121.140755,31.378141",39
嘉定区,"121.140755,31.361141",10
嘉定区,"121.140755,31.344141",22
嘉定区,"121.140755,31.327141",1
嘉定区,"121.140755,31.310141",26
嘉定区,"121.157755,31.446141",1
嘉定区,"121.157755,31.412141",1
嘉定区,"121.157755,31.395141",36
嘉定区,"121.157755,31.378141",103
嘉定区,"121.157755,31.361141",35
嘉定区,"121.157755,31.344141",55
嘉定区,"121.157755,31.327141",4
嘉定区,"121.157755,31.310141",219
嘉定区,"121.157755,31.293141",887
嘉定区,"121.157755,31.276141",14
嘉定区,"121.174755,31.446141",2
嘉定区,"121.174755,31.429141",6
嘉定区,"121.174755,31.412141",7
嘉定区,"121.174755,31.395141",16
嘉定区,"121.174755,31.378141",34
嘉定区,"121.174755,31.361141",503
嘉定区,"121.174755,31.344141",19
嘉定区,"121.174755,31.327141",27
嘉定区,"121.174755,31.310141",29
嘉定区,"121.174755,31.293141",105
嘉定区,"121.174755,31.276141",123
嘉定区,"121.174755,31.259141",14
嘉定区,"121.191755,31.463141",6
嘉定区,"121.191755,31.446141",17
嘉定区,"121.191755,31.429141",7
嘉定区,"121.191755,31.412141",171
嘉定区,"121.191755,31.395141",5
嘉定区,"121.191755,31.378141",2
嘉定区,"121.191755,31.361141",2
嘉定区,"121.191755,31.344141",6
嘉定区,"121.191755,31.327141",38
嘉定区,"121.191755,31.310141",45
嘉定区,"121.191755,31.293141",72
嘉定区,"121.191755,31.276141",16
嘉定区,"121.191755,31.259141",10
嘉定区,"121.208755,31.463141",2
嘉定区,"121.208755,31.446141",4
嘉定区,"121.208755,31.429141",301
嘉定区,"121.208755,31.412141",83
嘉定区,"121.208755,31.395141",74
嘉定区,"121.208755,31.378141",10
嘉定区,"121.208755,31.361141",4
嘉定区,"121.208755,31.344141",18
嘉定区,"121.208755,31.327141",46
嘉定区,"121.208755,31.310141",154
嘉定区,"121.208755,31.293141",66
嘉定区,"121.208755,31.276141",210
嘉定区,"121.208755,31.259141",232
嘉定区,"121.225755,31.463141",5
嘉定区,"121.225755,31.446141",4
嘉定区,"121.225755,31.429141",208
嘉定区,"121.225755,31.412141",34
嘉定区,"121.225755,31.395141",40
嘉定区,"121.225755,31.378141",301
嘉定区,"121.225755,31.361141",88
嘉定区,"121.225755,31.344141",8
嘉定区,"121.225755,31.327141",39
嘉定区,"121.225755,31.310141",270
嘉定区,"121.225755,31.293141",128
嘉定区,"121.225755,31.276141",74
嘉定区,"121.242755,31.480141",2
