行政区,坐标,数量
静安区,"121.427582,31.294334",681
静安区,"121.427582,31.285334",884
静安区,"121.427582,31.276334",873
静安区,"121.436582,31.312334",746
静安区,"121.436582,31.303334",767
静安区,"121.436582,31.294334",803
静安区,"121.436582,31.285334",871
静安区,"121.436582,31.276334",877
静安区,"121.436582,31.231334",881
静安区,"121.436582,31.222334",873
静安区,"121.445582,31.312334",878
静安区,"121.445582,31.303334",878
静安区,"121.445582,31.294334",820
静安区,"121.445582,31.285334",868
静安区,"121.445582,31.276334",870
静安区,"121.445582,31.267334",872
静安区,"121.445582,31.240334",884
静安区,"121.445582,31.231334",874
静安区,"121.445582,31.222334",842
静安区,"121.454582,31.312334",874
静安区,"121.454582,31.303334",870
静安区,"121.454582,31.294334",552
静安区,"121.454582,31.285334",746
静安区,"121.454582,31.276334",867
静安区,"121.454582,31.267334",878
静安区,"121.454582,31.258334",876
静安区,"121.454582,31.249334",877
静安区,"121.454582,31.240334",870
静安区,"121.454582,31.231334",868
静安区,"121.454582,31.222334",863
静安区,"121.463582,31.312334",878
静安区,"121.463582,31.303334",742
静安区,"121.463582,31.267334",871
静安区,"121.463582,31.258334",883
静安区,"121.463582,31.249334",873
静安区,"121.463582,31.231334",849
静安区,"121.472582,31.258334",877
静安区,"121.472582,31.249334",879
