行政区,坐标,数量
闵行区,"121.257106,31.242615",121
闵行区,"121.257106,31.225615",50
闵行区,"121.274106,31.242615",430
闵行区,"121.274106,31.225615",212
闵行区,"121.274106,31.208615",104
闵行区,"121.291106,31.225615",38
闵行区,"121.291106,31.208615",522
闵行区,"121.308106,31.225615",91
闵行区,"121.308106,31.208615",487
闵行区,"121.308106,31.191615",538
闵行区,"121.325106,31.225615",342
闵行区,"121.325106,31.208615",31
闵行区,"121.325106,31.191615",459
闵行区,"121.325106,31.174615",40
闵行区,"121.342106,31.174615",477
闵行区,"121.342106,31.157615",856
闵行区,"121.342106,31.140615",458
闵行区,"121.342106,31.055615",43
闵行区,"121.342106,31.038615",1
闵行区,"121.342106,31.021615",6
闵行区,"121.342106,31.004615",4
闵行区,"121.342106,30.987615",21
闵行区,"121.359106,31.174615",852
闵行区,"121.359106,31.157615",874
闵行区,"121.359106,31.140615",659
闵行区,"121.359106,31.123615",498
闵行区,"121.359106,31.106615",456
闵行区,"121.359106,31.055615",19
闵行区,"121.359106,31.038615",9
闵行区,"121.359106,31.021615",20
闵行区,"121.359106,31.004615",29
闵行区,"121.359106,30.987615",36
闵行区,"121.376106,31.174615",868
闵行区,"121.376106,31.157615",863
闵行区,"121.376106,31.140615",325
闵行区,"121.376106,31.123615",660
闵行区,"121.376106,31.106615",882
闵行区,"121.376106,31.089615",417
闵行区,"121.376106,31.072615",46
闵行区,"121.376106,31.055615",13
闵行区,"121.376106,31.038615",55
闵行区,"121.376106,31.021615",83
闵行区,"121.376106,31.004615",92
闵行区,"121.376106,30.987615",112
闵行区,"121.393106,31.191615",854
闵行区,"121.393106,31.174615",890
闵行区,"121.393106,31.157615",845
闵行区,"121.393106,31.140615",608
闵行区,"121.393106,31.123615",458
闵行区,"121.393106,31.106615",846
闵行区,"121.393106,31.089615",535
闵行区,"121.393106,31.072615",494
闵行区,"121.393106,31.055615",345
闵行区,"121.393106,31.038615",33
闵行区,"121.393106,31.021615",221
闵行区,"121.393106,31.004615",262
闵行区,"121.410106,31.140615",746
闵行区,"121.410106,31.123615",636
闵行区,"121.410106,31.106615",527
闵行区,"121.410106,31.089615",295
闵行区,"121.410106,31.072615",249
闵行区,"121.410106,31.055615",128
闵行区,"121.410106,31.038615",455
闵行区,"121.410106,31.021615",318
闵行区,"121.410106,31.004615",860
闵行区,"121.427106,31.123615",603
闵行区,"121.427106,31.106615",163
闵行区,"121.427106,31.089615",352
闵行区,"121.427106,31.072615",131
闵行区,"121.427106,31.055615",50
闵行区,"121.427106,31.038615",200
闵行区,"121.427106,31.021615",456
闵行区,"121.427106,31.004615",593
闵行区,"121.444106,31.106615",159
闵行区,"121.444106,31.089615",268
闵行区,"121.444106,31.072615",107
闵行区,"121.444106,31.055615",148
闵行区,"121.444106,31.038615",248
闵行区,"121.444106,31.021615",52
闵行区,"121.461106,31.089615",53
闵行区,"121.461106,31.072615",48
闵行区,"121.461106,31.055615",68
闵行区,"121.461106,31.038615",738
闵行区,"121.461106,31.021615",32
闵行区,"121.478106,31.106615",100
闵行区,"121.478106,31.089615",41
闵行区,"121.478106,31.072615",1
闵行区,"121.478106,31.055615",6
闵行区,"121.478106,31.038615",166
闵行区,"121.478106,31.021615",5
闵行区,"121.495106,31.106615",174
闵行区,"121.495106,31.089615",146
闵行区,"121.495106,31.072615",293
闵行区,"121.495106,31.055615",14
闵行区,"121.495106,31.038615",12
闵行区,"121.495106,31.021615",15
闵行区,"121.495106,31.004615",5
闵行区,"121.512106,31.106615",91
闵行区,"121.512106,31.089615",197
闵行区,"121.512106,31.072615",298
闵行区,"121.512106,31.055615",70
闵行区,"121.512106,31.038615",51
闵行区,"121.512106,31.021615",27
闵行区,"121.529106,31.106615",101
闵行区,"121.529106,31.089615",35
闵行区,"121.529106,31.072615",461
闵行区,"121.529106,31.055615",257
闵行区,"121.529106,31.038615",59
闵行区,"121.529106,31.021615",235
闵行区,"121.529106,31.004615",13
闵行区,"121.546106,31.106615",27
闵行区,"121.546106,31.089615",10
闵行区,"121.546106,31.072615",144
闵行区,"121.546106,31.038615",91
闵行区,"121.546106,31.021615",26
闵行区,"121.546106,31.004615",2
闵行区,"121.563106,31.021615",2
闵行区,"121.563106,31.004615",2
