行政区,坐标,数量
浦东新区,"121.473989,31.173788",135
浦东新区,"121.473989,31.156788",28
浦东新区,"121.473989,31.139788",9
浦东新区,"121.473989,31.122788",52
浦东新区,"121.490989,31.190788",206
浦东新区,"121.490989,31.173788",870
浦东新区,"121.490989,31.156788",878
浦东新区,"121.490989,31.139788",630
浦东新区,"121.490989,31.122788",202
浦东新区,"121.507989,31.377788",209
浦东新区,"121.507989,31.360788",59
浦东新区,"121.507989,31.241788",864
浦东新区,"121.507989,31.224788",871
浦东新区,"121.507989,31.207788",699
浦东新区,"121.507989,31.190788",806
浦东新区,"121.507989,31.173788",876
浦东新区,"121.507989,31.156788",869
浦东新区,"121.507989,31.139788",880
浦东新区,"121.507989,31.122788",249
浦东新区,"121.524989,31.377788",41
浦东新区,"121.524989,31.360788",19
浦东新区,"121.524989,31.241788",875
浦东新区,"121.524989,31.224788",878
浦东新区,"121.524989,31.207788",874
浦东新区,"121.524989,31.190788",612
浦东新区,"121.524989,31.173788",607
浦东新区,"121.524989,31.156788",349
浦东新区,"121.524989,31.139788",558
浦东新区,"121.524989,31.122788",237
浦东新区,"121.541989,31.377788",7
浦东新区,"121.541989,31.360788",292
浦东新区,"121.541989,31.343788",32
浦东新区,"121.541989,31.241788",874
浦东新区,"121.541989,31.224788",564
浦东新区,"121.541989,31.207788",810
浦东新区,"121.541989,31.190788",369
浦东新区,"121.541989,31.173788",695
浦东新区,"121.541989,31.156788",238
浦东新区,"121.541989,31.139788",145
浦东新区,"121.541989,31.122788",91
浦东新区,"121.558989,31.377788",7
浦东新区,"121.558989,31.360788",69
浦东新区,"121.558989,31.343788",193
浦东新区,"121.558989,31.258788",536
浦东新区,"121.558989,31.241788",878
浦东新区,"121.558989,31.224788",660
浦东新区,"121.558989,31.207788",873
浦东新区,"121.558989,31.190788",870
浦东新区,"121.558989,31.173788",572
浦东新区,"121.558989,31.156788",364
浦东新区,"121.558989,31.139788",146
浦东新区,"121.558989,31.122788",191
浦东新区,"121.558989,31.088788",3
浦东新区,"121.558989,31.071788",59
浦东新区,"121.558989,31.054788",4
浦东新区,"121.575989,31.377788",1
浦东新区,"121.575989,31.360788",78
浦东新区,"121.575989,31.343788",861
浦东新区,"121.575989,31.326788",299
浦东新区,"121.575989,31.309788",69
浦东新区,"121.575989,31.292788",346
浦东新区,"121.575989,31.275788",525
浦东新区,"121.575989,31.258788",859
浦东新区,"121.575989,31.241788",794
浦东新区,"121.575989,31.224788",149
浦东新区,"121.575989,31.207788",221
浦东新区,"121.575989,31.190788",200
浦东新区,"121.575989,31.173788",92
浦东新区,"121.575989,31.156788",577
浦东新区,"121.575989,31.139788",396
浦东新区,"121.575989,31.122788",868
浦东新区,"121.575989,31.105788",624
浦东新区,"121.575989,31.088788",98
浦东新区,"121.575989,31.071788",6
浦东新区,"121.575989,31.054788",32
浦东新区,"121.575989,31.037788",14
浦东新区,"121.575989,31.020788",39
浦东新区,"121.575989,31.003788",5
浦东新区,"121.592989,31.360788",36
浦东新区,"121.592989,31.343788",812
浦东新区,"121.592989,31.326788",398
浦东新区,"121.592989,31.309788",194
浦东新区,"121.592989,31.292788",210
浦东新区,"121.592989,31.275788",890
浦东新区,"121.592989,31.258788",874
浦东新区,"121.592989,31.241788",340
浦东新区,"121.592989,31.224788",52
浦东新区,"121.592989,31.207788",588
浦东新区,"121.592989,31.190788",300
浦东新区,"121.592989,31.173788",22
浦东新区,"121.592989,31.156788",20
浦东新区,"121.592989,31.139788",128
浦东新区,"121.592989,31.122788",618
浦东新区,"121.592989,31.105788",182
浦东新区,"121.592989,31.088788",201
浦东新区,"121.592989,31.071788",131
浦东新区,"121.592989,31.054788",288
浦东新区,"121.592989,31.037788",291
浦东新区,"121.592989,31.020788",374
浦东新区,"121.592989,31.003788",1
浦东新区,"121.609989,31.343788",79
浦东新区,"121.609989,31.326788",276
浦东新区,"121.609989,31.309788",181
浦东新区,"121.609989,31.292788",766
浦东新区,"121.609989,31.275788",871
浦东新区,"121.609989,31.258788",663
浦东新区,"121.609989,31.241788",94
浦东新区,"121.609989,31.224788",107
浦东新区,"121.609989,31.207788",883
浦东新区,"121.609989,31.190788",89
浦东新区,"121.609989,31.173788",111
浦东新区,"121.609989,31.156788",36
浦东新区,"121.609989,31.139788",646
浦东新区,"121.609989,31.122788",79
浦东新区,"121.609989,31.105788",191
浦东新区,"121.609989,31.088788",10
浦东新区,"121.609989,31.071788",41
浦东新区,"121.609989,31.054788",7
浦东新区,"121.609989,31.037788",47
浦东新区,"121.609989,31.020788",96
浦东新区,"121.609989,31.003788",1
浦东新区,"121.626989,31.343788",7
浦东新区,"121.626989,31.326788",208
浦东新区,"121.626989,31.309788",518
浦东新区,"121.626989,31.292788",198
浦东新区,"121.626989,31.275788",25
浦东新区,"121.626989,31.258788",204
浦东新区,"121.626989,31.241788",157
浦东新区,"121.626989,31.224788",105
浦东新区,"121.626989,31.207788",273
浦东新区,"121.626989,31.190788",544
浦东新区,"121.626989,31.173788",390
浦东新区,"121.626989,31.156788",73
浦东新区,"121.626989,31.139788",168
浦东新区,"121.626989,31.122788",36
浦东新区,"121.626989,31.105788",15
