行政区,坐标,数量
普陀区,"121.334928,31.293891",328
普陀区,"121.334928,31.284891",224
普陀区,"121.343928,31.293891",431
普陀区,"121.343928,31.284891",666
普陀区,"121.343928,31.275891",540
普陀区,"121.352928,31.293891",452
普陀区,"121.352928,31.284891",693
普陀区,"121.352928,31.275891",518
普陀区,"121.361928,31.284891",282
普陀区,"121.361928,31.275891",199
普陀区,"121.361928,31.266891",282
普陀区,"121.361928,31.230891",637
普陀区,"121.370928,31.284891",207
普陀区,"121.370928,31.275891",324
普陀区,"121.370928,31.266891",553
普陀区,"121.370928,31.257891",863
普陀区,"121.370928,31.239891",882
普陀区,"121.370928,31.230891",705
普陀区,"121.379928,31.284891",342
普陀区,"121.379928,31.275891",637
普陀区,"121.379928,31.266891",648
普陀区,"121.379928,31.257891",751
普陀区,"121.379928,31.248891",877
普陀区,"121.379928,31.239891",874
普陀区,"121.379928,31.230891",804
普陀区,"121.379928,31.221891",633
普陀区,"121.388928,31.293891",127
普陀区,"121.388928,31.284891",377
普陀区,"121.388928,31.275891",600
普陀区,"121.388928,31.266891",716
普陀区,"121.388928,31.257891",836
普陀区,"121.388928,31.248891",881
普陀区,"121.388928,31.239891",879
普陀区,"121.388928,31.230891",876
普陀区,"121.388928,31.221891",666
普陀区,"121.397928,31.284891",522
普陀区,"121.397928,31.275891",703
普陀区,"121.397928,31.266891",647
普陀区,"121.397928,31.257891",709
普陀区,"121.397928,31.248891",873
普陀区,"121.397928,31.239891",873
普陀区,"121.397928,31.230891",872
普陀区,"121.397928,31.221891",799
普陀区,"121.406928,31.266891",868
普陀区,"121.406928,31.257891",506
普陀区,"121.406928,31.248891",858
普陀区,"121.406928,31.239891",860
普陀区,"121.406928,31.230891",872
普陀区,"121.406928,31.221891",868
普陀区,"121.415928,31.257891",786
普陀区,"121.415928,31.248891",862
普陀区,"121.415928,31.239891",876
普陀区,"121.415928,31.230891",866
普陀区,"121.424928,31.266891",869
普陀区,"121.424928,31.257891",871
普陀区,"121.424928,31.248891",870
普陀区,"121.424928,31.239891",858
普陀区,"121.424928,31.230891",848
普陀区,"121.433928,31.266891",866
普陀区,"121.433928,31.257891",876
普陀区,"121.433928,31.248891",399
普陀区,"121.433928,31.239891",876
普陀区,"121.442928,31.266891",872
普陀区,"121.442928,31.257891",876
普陀区,"121.442928,31.248891",865
普陀区,"121.442928,31.239891",875
