行政区,坐标,数量
青浦区,"120.873804,31.122081",1
青浦区,"120.890804,31.122081",1
青浦区,"120.890804,31.105081",1
青浦区,"120.907804,31.122081",3
青浦区,"120.907804,31.105081",1
青浦区,"120.907804,31.088081",6
青浦区,"120.907804,31.071081",19
青浦区,"120.907804,31.054081",2
青浦区,"120.907804,31.037081",4
青浦区,"120.907804,31.020081",1
青浦区,"120.924804,31.122081",42
青浦区,"120.924804,31.105081",2
青浦区,"120.924804,31.071081",4
青浦区,"120.924804,31.054081",3
青浦区,"120.924804,31.037081",70
青浦区,"120.924804,31.020081",2
青浦区,"120.941804,31.139081",1
青浦区,"120.941804,31.122081",2
青浦区,"120.941804,31.071081",1
青浦区,"120.941804,31.054081",10
青浦区,"120.958804,31.088081",1
青浦区,"120.958804,31.071081",45
青浦区,"120.958804,31.054081",2
青浦区,"120.975804,31.088081",6
青浦区,"120.975804,31.071081",11
青浦区,"120.975804,31.054081",4
青浦区,"120.975804,31.037081",1
青浦区,"120.975804,31.020081",1
青浦区,"120.992804,31.105081",1
青浦区,"120.992804,31.088081",6
青浦区,"120.992804,31.071081",1
青浦区,"120.992804,31.054081",18
青浦区,"120.992804,31.037081",1
青浦区,"120.992804,31.003081",6
青浦区,"121.009804,31.105081",18
青浦区,"121.009804,31.054081",6
青浦区,"121.009804,31.037081",1
青浦区,"121.009804,31.003081",6
青浦区,"121.009804,30.952081",1
青浦区,"121.026804,31.139081",1
青浦区,"121.026804,31.122081",18
青浦区,"121.026804,31.105081",13
青浦区,"121.026804,31.088081",5
青浦区,"121.026804,31.071081",2
青浦区,"121.026804,31.054081",1
青浦区,"121.026804,31.003081",1
青浦区,"121.026804,30.986081",4
青浦区,"121.026804,30.969081",69
青浦区,"121.026804,30.952081",2
青浦区,"121.043804,31.139081",21
青浦区,"121.043804,31.122081",39
青浦区,"121.043804,31.105081",140
青浦区,"121.043804,31.088081",10
青浦区,"121.043804,31.071081",35
青浦区,"121.043804,31.037081",1
青浦区,"121.043804,31.020081",11
青浦区,"121.043804,31.003081",140
青浦区,"121.043804,30.986081",10
青浦区,"121.060804,31.139081",3
青浦区,"121.060804,31.122081",15
青浦区,"121.060804,31.105081",608
青浦区,"121.060804,31.088081",18
青浦区,"121.060804,31.071081",171
青浦区,"121.060804,31.037081",1
青浦区,"121.060804,31.020081",3
青浦区,"121.060804,31.003081",13
青浦区,"121.060804,30.986081",5
青浦区,"121.060804,30.969081",1
青浦区,"121.077804,31.258081",161
青浦区,"121.077804,31.241081",4
青浦区,"121.077804,31.224081",1
青浦区,"121.077804,31.207081",2
青浦区,"121.077804,31.190081",5
青浦区,"121.077804,31.173081",7
青浦区,"121.077804,31.156081",26
青浦区,"121.077804,31.139081",15
青浦区,"121.077804,31.122081",2
青浦区,"121.077804,31.105081",19
青浦区,"121.077804,31.088081",6
青浦区,"121.077804,31.071081",5
青浦区,"121.077804,31.054081",4
青浦区,"121.077804,31.037081",3
青浦区,"121.077804,31.003081",3
青浦区,"121.077804,30.986081",102
青浦区,"121.077804,30.969081",3
青浦区,"121.094804,31.275081",2
青浦区,"121.094804,31.258081",42
青浦区,"121.094804,31.241081",4
青浦区,"121.094804,31.224081",8
青浦区,"121.094804,31.207081",184
青浦区,"121.094804,31.190081",21
青浦区,"121.094804,31.173081",109
青浦区,"121.094804,31.156081",196
青浦区,"121.094804,31.139081",241
青浦区,"121.094804,31.122081",3
青浦区,"121.094804,31.105081",1
青浦区,"121.094804,31.088081",1
青浦区,"121.094804,31.071081",12
青浦区,"121.094804,31.037081",5
青浦区,"121.094804,30.986081",2
青浦区,"121.111804,31.275081",2
青浦区,"121.111804,31.258081",11
青浦区,"121.111804,31.224081",5
青浦区,"121.111804,31.207081",90
青浦区,"121.111804,31.190081",57
青浦区,"121.111804,31.173081",53
青浦区,"121.111804,31.156081",866
青浦区,"121.111804,31.139081",482
青浦区,"121.111804,31.122081",6
青浦区,"121.111804,31.071081",9
青浦区,"121.128804,31.275081",8
青浦区,"121.128804,31.258081",87
青浦区,"121.128804,31.241081",27
青浦区,"121.128804,31.224081",2
青浦区,"121.128804,31.207081",6
青浦区,"121.128804,31.190081",265
青浦区,"121.128804,31.173081",107
青浦区,"121.128804,31.156081",575
青浦区,"121.128804,31.139081",374
青浦区,"121.128804,31.122081",11
青浦区,"121.128804,31.105081",1
青浦区,"121.145804,31.275081",5
青浦区,"121.145804,31.258081",314
青浦区,"121.145804,31.241081",84
青浦区,"121.145804,31.224081",1
青浦区,"121.145804,31.207081",1
青浦区,"121.145804,31.190081",52
青浦区,"121.145804,31.173081",12
青浦区,"121.145804,31.156081",225
青浦区,"121.145804,31.139081",67
青浦区,"121.145804,31.122081",7
青浦区,"121.145804,31.105081",2
青浦区,"121.162804,31.258081",5
青浦区,"121.162804,31.241081",10
青浦区,"121.162804,31.224081",1
青浦区,"121.162804,31.207081",3
青浦区,"121.162804,31.190081",43
青浦区,"121.162804,31.173081",44
青浦区,"121.162804,31.156081",100
青浦区,"121.162804,31.139081",47
青浦区,"121.162804,31.122081",5
青浦区,"121.162804,31.105081",25
青浦区,"121.179804,31.241081",9
青浦区,"121.179804,31.224081",5
青浦区,"121.179804,31.207081",170
青浦区,"121.179804,31.190081",361
青浦区,"121.179804,31.173081",45
青浦区,"121.179804,31.156081",78
青浦区,"121.179804,31.139081",30
青浦区,"121.179804,31.122081",14
青浦区,"121.196804,31.241081",80
青浦区,"121.196804,31.224081",16
青浦区,"121.196804,31.207081",3
青浦区,"121.196804,31.190081",67
青浦区,"121.196804,31.173081",11
青浦区,"121.196804,31.156081",375
青浦区,"121.196804,31.139081",33
青浦区,"121.213804,31.241081",300
青浦区,"121.213804,31.224081",72
青浦区,"121.213804,31.207081",57
青浦区,"121.213804,31.190081",111
青浦区,"121.213804,31.173081",15
青浦区,"121.213804,31.156081",36
青浦区,"121.213804,31.139081",9
青浦区,"121.230804,31.258081",41
青浦区,"121.230804,31.241081",613
青浦区,"121.230804,31.224081",233
青浦区,"121.230804,31.207081",356
青浦区,"121.230804,31.190081",384
青浦区,"121.230804,31.173081",57
青浦区,"121.230804,31.156081",157
