行政区,坐标,数量
松江区,"121.041683,30.941965",4
松江区,"121.041683,30.924965",1
松江区,"121.041683,30.907965",5
松江区,"121.058683,30.958965",1
松江区,"121.058683,30.941965",3
松江区,"121.058683,30.924965",52
松江区,"121.058683,30.907965",1
松江区,"121.075683,30.941965",62
松江区,"121.075683,30.924965",35
松江区,"121.075683,30.907965",1
松江区,"121.092683,31.060965",1
松江区,"121.092683,30.958965",3
松江区,"121.092683,30.941965",21
松江区,"121.092683,30.924965",3
松江区,"121.109683,31.094965",1
松江区,"121.109683,31.043965",1
松江区,"121.109683,31.026965",19
松江区,"121.109683,31.009965",2
松江区,"121.109683,30.992965",4
松江区,"121.109683,30.975965",4
松江区,"121.109683,30.958965",1
松江区,"121.109683,30.941965",11
松江区,"121.109683,30.924965",1
松江区,"121.126683,31.094965",1
松江区,"121.126683,31.077965",5
松江区,"121.126683,31.060965",2
松江区,"121.126683,31.043965",1
松江区,"121.126683,31.026965",123
松江区,"121.126683,31.009965",8
松江区,"121.126683,30.992965",19
松江区,"121.126683,30.975965",3
松江区,"121.126683,30.958965",1
松江区,"121.126683,30.941965",1
松江区,"121.126683,30.924965",3
松江区,"121.143683,31.094965",1
松江区,"121.143683,31.077965",118
松江区,"121.143683,31.060965",227
松江区,"121.143683,31.043965",9
松江区,"121.143683,31.026965",160
松江区,"121.143683,31.009965",299
松江区,"121.143683,30.992965",7
松江区,"121.143683,30.975965",3
松江区,"121.143683,30.958965",14
松江区,"121.143683,30.941965",32
松江区,"121.143683,30.924965",3
松江区,"121.160683,31.094965",23
松江区,"121.160683,31.077965",4
松江区,"121.160683,31.060965",81
松江区,"121.160683,31.043965",17
松江区,"121.160683,31.026965",8
松江区,"121.160683,31.009965",8
松江区,"121.160683,30.992965",15
松江区,"121.160683,30.975965",6
松江区,"121.160683,30.958965",1
松江区,"121.160683,30.941965",2
松江区,"121.160683,30.924965",6
松江区,"121.177683,31.111965",32
松江区,"121.177683,31.094965",250
松江区,"121.177683,31.077965",10
松江区,"121.177683,31.060965",2
松江区,"121.177683,31.043965",90
松江区,"121.177683,31.026965",98
松江区,"121.177683,31.009965",5
松江区,"121.177683,30.992965",4
松江区,"121.177683,30.975965",164
松江区,"121.177683,30.958965",6
松江区,"121.177683,30.941965",7
松江区,"121.177683,30.924965",2
松江区,"121.194683,31.128965",46
松江区,"121.194683,31.111965",28
松江区,"121.194683,31.094965",156
松江区,"121.194683,31.077965",14
松江区,"121.194683,31.060965",27
松江区,"121.194683,31.043965",534
松江区,"121.194683,31.026965",361
松江区,"121.194683,31.009965",413
松江区,"121.194683,30.992965",25
松江区,"121.194683,30.975965",12
松江区,"121.194683,30.958965",9
松江区,"121.194683,30.941965",9
松江区,"121.194683,30.924965",4
松江区,"121.211683,31.128965",17
松江区,"121.211683,31.111965",8
松江区,"121.211683,31.094965",51
松江区,"121.211683,31.060965",27
松江区,"121.211683,31.043965",867
松江区,"121.211683,31.026965",460
松江区,"121.211683,31.009965",781
松江区,"121.211683,30.992965",83
松江区,"121.211683,30.975965",19
松江区,"121.211683,30.958965",1
松江区,"121.211683,30.941965",18
松江区,"121.211683,30.924965",127
松江区,"121.228683,31.111965",187
松江区,"121.228683,31.094965",40
松江区,"121.228683,31.077965",27
松江区,"121.228683,31.060965",419
松江区,"121.228683,31.043965",208
松江区,"121.228683,31.026965",333
松江区,"121.228683,31.009965",873
松江区,"121.228683,30.992965",59
松江区,"121.228683,30.975965",5
松江区,"121.228683,30.941965",3
松江区,"121.245683,31.128965",9
松江区,"121.245683,31.111965",155
松江区,"121.245683,31.094965",56
松江区,"121.245683,31.077965",12
松江区,"121.245683,31.060965",559
松江区,"121.245683,31.043965",145
松江区,"121.245683,31.026965",327
松江区,"121.245683,31.009965",880
松江区,"121.245683,30.992965",35
松江区,"121.245683,30.975965",4
松江区,"121.245683,30.958965",1
松江区,"121.245683,30.941965",2
松江区,"121.262683,31.128965",27
松江区,"121.262683,31.111965",539
松江区,"121.262683,31.094965",156
松江区,"121.262683,31.077965",311
松江区,"121.262683,31.060965",55
松江区,"121.262683,31.043965",35
松江区,"121.262683,31.026965",154
松江区,"121.262683,31.009965",604
松江区,"121.262683,30.992965",16
松江区,"121.262683,30.975965",1
松江区,"121.262683,30.958965",2
松江区,"121.262683,30.941965",2
松江区,"121.262683,30.924965",1
松江区,"121.262683,30.907965",1
松江区,"121.279683,31.145965",92
松江区,"121.279683,31.128965",111
松江区,"121.279683,31.111965",749
松江区,"121.279683,31.094965",143
松江区,"121.279683,31.077965",111
松江区,"121.279683,31.060965",91
松江区,"121.279683,31.043965",43
松江区,"121.279683,31.026965",161
松江区,"121.279683,31.009965",176
松江区,"121.279683,30.992965",33
松江区,"121.279683,30.975965",5
松江区,"121.279683,30.958965",1
松江区,"121.279683,30.941965",18
松江区,"121.279683,30.924965",226
松江区,"121.279683,30.907965",1
松江区,"121.296683,31.145965",248
松江区,"121.296683,31.128965",155
松江区,"121.296683,31.111965",71
松江区,"121.296683,31.094965",52
松江区,"121.296683,31.077965",10
松江区,"121.296683,31.060965",63
松江区,"121.296683,31.043965",112
松江区,"121.296683,31.026965",446
松江区,"121.296683,31.009965",89
松江区,"121.296683,30.992965",90
松江区,"121.296683,30.975965",5
松江区,"121.296683,30.958965",1
松江区,"121.296683,30.941965",16
松江区,"121.296683,30.924965",4
松江区,"121.313683,31.145965",766
松江区,"121.313683,31.128965",606
松江区,"121.313683,31.111965",282
松江区,"121.313683,31.094965",135
松江区,"121.313683,31.077965",37
松江区,"121.313683,31.060965",735
松江区,"121.313683,31.043965",159
松江区,"121.313683,31.026965",192
松江区,"121.313683,31.009965",870
松江区,"121.313683,30.992965",7
松江区,"121.313683,30.975965",5
松江区,"121.313683,30.958965",32
松江区,"121.313683,30.941965",314
松江区,"121.313683,30.924965",1
松江区,"121.330683,31.145965",351
松江区,"121.330683,31.128965",796
松江区,"121.330683,31.111965",165
松江区,"121.330683,31.094965",164
松江区,"121.330683,31.077965",223
松江区,"121.330683,31.060965",92
松江区,"121.330683,31.043965",33
松江区,"121.330683,31.026965",32
松江区,"121.330683,31.009965",95
松江区,"121.330683,30.958965",4
松江区,"121.330683,30.941965",80
松江区,"121.330683,30.924965",1
松江区,"121.347683,31.111965",127
松江区,"121.347683,31.094965",303
松江区,"121.347683,31.077965",178
松江区,"121.347683,31.060965",105
松江区,"121.347683,30.958965",2
松江区,"121.347683,30.941965",1
松江区,"121.347683,30.924965",1
松江区,"121.364683,31.094965",804
松江区,"121.364683,31.077965",160
