行政区,坐标,数量
杨浦区,"121.494399,31.310806",885
杨浦区,"121.494399,31.301806",888
杨浦区,"121.503399,31.337806",198
杨浦区,"121.503399,31.328806",227
杨浦区,"121.503399,31.319806",363
杨浦区,"121.503399,31.310806",872
杨浦区,"121.503399,31.301806",876
杨浦区,"121.503399,31.292806",875
杨浦区,"121.503399,31.283806",862
杨浦区,"121.503399,31.274806",873
杨浦区,"121.512399,31.337806",138
杨浦区,"121.512399,31.328806",135
杨浦区,"121.512399,31.319806",476
杨浦区,"121.512399,31.310806",868
杨浦区,"121.512399,31.301806",856
杨浦区,"121.512399,31.292806",879
杨浦区,"121.512399,31.283806",882
杨浦区,"121.512399,31.274806",864
杨浦区,"121.512399,31.265806",881
杨浦区,"121.521399,31.337806",157
杨浦区,"121.521399,31.328806",458
杨浦区,"121.521399,31.319806",754
杨浦区,"121.521399,31.310806",871
杨浦区,"121.521399,31.301806",875
杨浦区,"121.521399,31.292806",873
杨浦区,"121.521399,31.283806",866
杨浦区,"121.521399,31.274806",867
杨浦区,"121.521399,31.265806",859
杨浦区,"121.521399,31.256806",864
杨浦区,"121.521399,31.247806",660
杨浦区,"121.530399,31.337806",157
杨浦区,"121.530399,31.328806",816
杨浦区,"121.530399,31.319806",881
杨浦区,"121.530399,31.310806",877
杨浦区,"121.530399,31.301806",728
杨浦区,"121.530399,31.292806",862
杨浦区,"121.530399,31.283806",883
杨浦区,"121.530399,31.274806",860
杨浦区,"121.530399,31.265806",868
杨浦区,"121.530399,31.256806",877
杨浦区,"121.539399,31.337806",122
杨浦区,"121.539399,31.328806",687
杨浦区,"121.539399,31.319806",892
杨浦区,"121.539399,31.310806",874
杨浦区,"121.539399,31.301806",844
杨浦区,"121.539399,31.292806",861
杨浦区,"121.539399,31.283806",881
杨浦区,"121.539399,31.274806",876
杨浦区,"121.539399,31.265806",877
杨浦区,"121.539399,31.256806",882
杨浦区,"121.548399,31.337806",32
杨浦区,"121.548399,31.328806",240
杨浦区,"121.548399,31.319806",251
杨浦区,"121.548399,31.310806",438
杨浦区,"121.548399,31.301806",464
杨浦区,"121.548399,31.292806",810
杨浦区,"121.548399,31.283806",871
杨浦区,"121.548399,31.274806",875
杨浦区,"121.548399,31.265806",873
杨浦区,"121.548399,31.256806",448
杨浦区,"121.557399,31.328806",33
杨浦区,"121.557399,31.319806",63
杨浦区,"121.557399,31.310806",88
杨浦区,"121.557399,31.301806",71
杨浦区,"121.557399,31.292806",257
杨浦区,"121.557399,31.283806",441
杨浦区,"121.557399,31.274806",704
杨浦区,"121.557399,31.265806",499
杨浦区,"121.566399,31.283806",111
杨浦区,"121.566399,31.274806",255
